function,analiticka_ms,relaciona_ms
get_by_id,28,12
get_by_id,16,7
get_by_id,16,9
get_by_id,15,12
get_by_id,13,7
get_by_id,15,7
get_by_id,20,11
get_by_id,18,8
get_by_id,9,13
get_by_id,12,8
get_by_id,11,12
get_by_id,11,13
get_by_id,9,9
get_by_id,11,7
get_by_id,14,8
get_by_id,15,8
get_by_id,12,9
get_by_id,11,9
get_by_id,11,12
get_by_id,12,6
get_by_id,14,9
get_by_id,12,13
get_by_id,15,9
get_by_id,15,8
get_by_id,18,9
get_by_id,16,7
get_by_id,16,7
get_by_id,14,12
get_by_id,15,11
get_by_name,673,6100
get_by_name,298,5670
get_by_name,302,5950
get_by_name,308,5900
get_by_name,283,6200
get_by_name,273,5750
get_by_name,297,7000
get_by_name,307,6100
get_by_name,275,5650
get_by_name,300,5450
get_by_name,293,5500
get_by_name,277,5700
get_by_name,269,5750
get_by_name,311,5750
get_by_name,298,5950
get_by_name,288,5880
get_by_name,301,5670
get_by_name,295,6150
get_by_name,294,6250
get_by_name,298,6000
get_by_name,279,6250
get_by_name,288,5580
get_by_name,314,5660
get_by_name,322,5250
get_by_name,298,5930
get_by_name,300,5660
get_by_name,311,6320
get_by_name,312,6130
get_by_name,285,6110
get_by_name,276,6280
get_by_manufacturer,1123,6820
get_by_manufacturer,1127,7040
get_by_manufacturer,1253,6410
get_by_manufacturer,1048,6600
get_by_manufacturer,1054,6650
get_by_manufacturer,1130,6380
get_by_manufacturer,1021,7110
get_by_manufacturer,1011,7290
get_by_manufacturer,1310,6280
get_by_manufacturer,1201,6410
get_by_manufacturer,1076,7010
get_by_manufacturer,1075,7200
get_by_manufacturer,1011,6500
get_by_manufacturer,1028,7190
get_by_manufacturer,1149,7000
get_by_manufacturer,1156,6750
get_by_manufacturer,1053,7080
get_by_manufacturer,1139,7110
get_by_manufacturer,1012,7370
get_by_manufacturer,1113,7600
get_by_manufacturer,1263,6950
get_by_manufacturer,1278,6900
get_by_manufacturer,1189,6810
get_by_manufacturer,1156,6650
get_by_manufacturer,1077,6780
get_by_manufacturer,1122,6970
get_by_manufacturer,1160,6540
get_by_manufacturer,1131,6910
get_by_manufacturer,1281,7030
get_by_manufacturer,1019,7300
agregate,127,4040
agregate,49,4200
agregate,97,4250
agregate,57,4060
agregate,57,4110
agregate,94,4230
agregate,93,4220
agregate,46,4210
agregate,49,4011
agregate,55,3980
agregate,71,3990
agregate,77,4240
agregate,98,4160
agregate,92,4310
agregate,71,4030
agregate,92,4080
agregate,22,4110
agregate,52,4270
agregate,93,4190
agregate,87,4390
agregate,39,4050
agregate,19,3980
agregate,93,3850
agregate,50,4110
agregate,64,4320
agregate,84,3900
agregate,51,4150
agregate,90,3890
agregate,54,3790
agregate,82,3830
